# smile Persian teacher dictionary v2 — UTF-8 TSV
# columns: word<TAB>frequency<TAB>status<TAB>source_or_note
# membership source: Lilak Persian Spell Checking Dictionary (Apache-2.0)
# frequency source: filtered subtitle frequencies (CC BY-SA 4.0); frequency is weight, not proof of validity
# statuses understood by the loader: verified | suggested | blocked
# Do not edit this generated base directly; put personal changes in my_words.tsv.
آذرنیا	1	verified	lilak:noun_singular
آذروش	1	verified	lilak:noun_singular
آذری	4	verified	lilak:noun_singular
آذری‌تبار	1	verified	lilak:noun_singular
آذری‌زبان	1	verified	lilak:noun_singular
آذرین	3	verified	lilak:adjective
آذوقه	288	verified	lilak:noun_singular
آذوقه‌جات	1	verified	lilak:noun_plural
آذوقه‌چی	1	verified	lilak:noun_singular
آذین	34	verified	lilak:noun_singular
آذین‌بخش	1	verified	lilak:noun_singular
آذین‌بندی	1	verified	lilak:noun_singular
آذین‌شده	1	verified	lilak:noun_singular
آذینی	1	verified	lilak:noun_singular
آرا	132	verified	lilak:noun_singular
آرادان	1	verified	lilak:noun_singular
آرارات	1	verified	lilak:noun_singular
آراست	1	verified	lilak:verb
آراستگان	1	verified	lilak:noun_plural
آراستگی	6	verified	lilak:noun_singular
آراستم	1	verified	lilak:verb
آراستن	7	verified	lilak:noun_singular
آراستند	1	verified	lilak:verb
آراسته	56	verified	lilak:adjective
آراسته‌ام	1	verified	lilak:verb
آراسته‌اند	1	verified	lilak:verb
آراسته‌ای	1	verified	lilak:verb
آراسته‌اید	1	verified	lilak:verb
آراسته‌ایم	1	verified	lilak:verb
آراسته‌شده	1	verified	lilak:noun_singular
آراستی	1	verified	lilak:verb
آراستید	1	verified	lilak:verb
آراستیم	1	verified	lilak:verb
آراگون	19	verified	lilak:noun_singular
آرال	6	verified	lilak:noun_singular
آرام	1463	verified	lilak:adverb
آرام‌بخش	136	verified	lilak:noun_singular
آرامبخشی	2	verified	lilak:noun_singular
آرامد	1	verified	lilak:verb
آرام‌سازی	1	verified	lilak:noun_singular
آرامش	2741	verified	lilak:noun_singular
آرامش‌بخش	4	verified	lilak:adjective
آرامش‌دهنده	1	verified	lilak:noun_singular
آرامشگاه	1	verified	lilak:noun_singular
آرام‌کننده	1	verified	lilak:noun_singular
آرامکو	5	verified	lilak:noun_singular
آرامگاه	97	verified	lilak:noun_singular
آرام‌گرفته	1	verified	lilak:noun_singular
آرامگری	1	verified	lilak:noun_singular
آرامم	6	verified	lilak:verb
آرام‌ناپذیر	1	verified	lilak:adjective
آرامند	2	verified	lilak:verb
آرامی	282	verified	lilak:noun_singular
آرامید	1	verified	lilak:verb
آرامیدم	1	verified	lilak:verb
آرامیدن	1	verified	lilak:noun_singular
آرامیدند	1	verified	lilak:verb
آرامیده	4	verified	lilak:adjective
آرامیده‌ام	1	verified	lilak:verb
آرامیده‌اند	1	verified	lilak:verb
آرامیده‌ای	1	verified	lilak:verb
آرامیده‌اید	1	verified	lilak:verb
آرامیده‌ایم	1	verified	lilak:verb
آرامیدی	1	verified	lilak:verb
آرامیدید	1	verified	lilak:verb
آرامیدیم	1	verified	lilak:verb
آرامیم	1	verified	lilak:verb
آرام‌پز	1	verified	lilak:noun_singular
آران	2	verified	lilak:noun_singular
آراید	1	verified	lilak:verb
آرایش	671	verified	lilak:noun_singular
آرایش‌شده	1	verified	lilak:noun_singular
آرایش‌کرده	1	verified	lilak:noun_singular
آرایشگاه	145	verified	lilak:noun_singular
آرایشگر	139	verified	lilak:noun_singular
آرایشگری	33	verified	lilak:noun_singular
آرایم	1	verified	lilak:verb
آرایند	1	verified	lilak:verb
آرایندگان	1	verified	lilak:noun_plural
آرایندگی	1	verified	lilak:noun_singular
آراینده	1	verified	lilak:adjective
آرایه	5	verified	lilak:noun_singular
آرایه‌شناختی	1	verified	lilak:adjective
آرایه‌شناس	1	verified	lilak:noun_singular
آرایی	63	verified	lilak:verb
آرایید	1	verified	lilak:verb
آراییدن	1	verified	lilak:noun_singular
آراییم	1	verified	lilak:verb
آربوزوف	1	verified	lilak:noun_singular
آرت	136	verified	lilak:noun_singular
آرتا	2	verified	lilak:noun_singular
آرتروز	21	verified	lilak:noun_singular
آرتروسکوپ	1	verified	lilak:noun_singular
آرتروسکوپی	1	verified	lilak:noun_singular
آرتریت	11	verified	lilak:noun_singular
آرتریتیس	1	verified	lilak:noun_singular
آرتمیس	42	verified	lilak:noun_singular
آرتمیوفرانکی	1	verified	lilak:noun_singular
آرتور	1694	verified	lilak:noun_singular
آرتیست	20	verified	lilak:adjective
آرتیست‌بازی	1	verified	lilak:noun_singular
آرتیستس	1	verified	lilak:noun_singular
آرتیست‌وار	1	verified	lilak:adverb
آرد	156	verified	lilak:noun_singular
آردبیز	1	verified	lilak:noun_singular
آردسازی	1	verified	lilak:noun_singular
آردسان	1	verified	lilak:adjective
آردل	7	verified	lilak:noun_singular
آرده	7	verified	lilak:noun_singular
آردی	28	verified	lilak:noun_singular
آردینه	1	verified	lilak:noun_singular
آرزو	2402	verified	lilak:noun_singular
آرزوکننده	1	verified	lilak:noun_singular
آرزومند	13	verified	lilak:adjective
آرزومندانه	5	verified	lilak:adjective
آرزومندی	1	verified	lilak:noun_singular
آرزویی	151	verified	lilak:noun_singular
آرژانتین	104	verified	lilak:noun_singular
آرژانتینی	29	verified	lilak:adjective
آرسن	2	verified	lilak:noun_singular
آرسنال	47	verified	lilak:noun_singular
آرسنیک	47	verified	lilak:noun_singular
آرش	58	verified	lilak:noun_singular
آرشی	1	verified	lilak:noun_singular
آرشیتکت	20	verified	lilak:noun_singular
آرشیتکتی	1	verified	lilak:noun_singular
آرشیو	198	verified	lilak:noun_singular
آرک	288	verified	lilak:noun_singular
آرکانزاس	35	verified	lilak:noun_singular
آرکاییسم	1	verified	lilak:noun_singular
آرکاییک	1	verified	lilak:adjective
آرگو	19	verified	lilak:noun_singular
آرگومان	1	verified	lilak:noun_singular
آرگون	12	verified	lilak:noun_singular
آرگونات	5	verified	lilak:noun_singular
آرگیومنتی	1	verified	lilak:adjective
آرم	183	verified	lilak:noun_singular
آرماتور	2	verified	lilak:noun_singular
آرماتوربند	1	verified	lilak:noun_singular
آرماتوربندی	1	verified	lilak:noun_singular
آرماگدون	24	verified	lilak:noun_singular
آرمان	319	verified	lilak:noun_singular
آرمان‌خواه	1	verified	lilak:noun_singular
آرمان‌خواهان	1	verified	lilak:noun_plural
آرمان‌خواهانه	1	verified	lilak:noun_singular
آرمان‌خواهی	1	verified	lilak:adjective
آرمان‌شهر	10	verified	lilak:noun_singular
آرمان‌گرا	13	verified	lilak:noun_singular
آرمان‌گرایانه	1	verified	lilak:adverb
آرمان‌گرایی	8	verified	lilak:noun_singular
آرمانی	41	verified	lilak:noun_singular
آرمان‌پرست	1	verified	lilak:noun_singular
آرمسترانگ	156	verified	lilak:noun_singular
آرمناک	1	verified	lilak:noun_singular
آرمیتاژ	35	verified	lilak:noun_singular
آرمیچر	2	verified	lilak:noun_singular
آرمید	2	verified	lilak:verb
آرمیدگی	1	verified	lilak:noun_singular
آرمیدم	1	verified	lilak:verb
آرمیدن	2	verified	lilak:noun_singular
آرمیدند	1	verified	lilak:verb
آرمیده	37	verified	lilak:adjective
آرمیده‌ام	1	verified	lilak:verb
آرمیده‌اند	1	verified	lilak:verb
آرمیده‌ای	1	verified	lilak:verb
آرمیده‌اید	1	verified	lilak:verb
آرمیده‌ایم	1	verified	lilak:verb
آرمیدی	1	verified	lilak:verb
آرمیدید	1	verified	lilak:verb
آرمیدیم	1	verified	lilak:verb
آرمین	27	verified	lilak:noun_singular
آرمینا	3	verified	lilak:noun_singular
آرنا	201	verified	lilak:noun_singular
آرنت	41	verified	lilak:noun_singular
آرنج	125	verified	lilak:noun_singular
آرنولد	256	verified	lilak:noun_singular
آرواره	67	verified	lilak:noun_singular
آرواره‌دار	1	verified	lilak:adjective
آروغ	63	verified	lilak:noun_singular
آروق	3	verified	lilak:noun_singular
آروماتیک	1	verified	lilak:noun_singular
آرون	770	verified	lilak:noun_singular
آرونسن	1	verified	lilak:noun_singular
آرونی	1	verified	lilak:noun_singular
آروین	36	verified	lilak:noun_singular
آره	144212	verified	lilak:noun_singular
آری	495	verified	lilak:adverb
آریا	195	verified	lilak:noun_singular
آریازند	1	verified	lilak:noun_singular
آریاشهر	1	verified	lilak:noun_singular
آریامنش	1	verified	lilak:noun_singular
آریامهر	1	verified	lilak:noun_singular
آریان	206	verified	lilak:noun_singular
آریانا	19	verified	lilak:noun_singular
آریانپور	1	verified	lilak:noun_singular
